g17
1 | 1- Ciertas enfermedades infecciosas y parasitarias
2 | 2- Tumores (neoplasias)
"3 | 3- Enfermedades endocrinas, nutricionales y metabólicas"
"4 | 4- Enfermedades de la sangre y de los órganos hematopoyéticos, ciertos trastornos que afectan el mecanismo  de la inmu"
5 | 5- Trastornos mentales y del comportamiento
"6 | 6- Enfermedades del sistema nervioso y de los órganos de los sentidos (del ojo y sus anexos, del oído y de la apófisi"
7 | 7- Enfermedades del sistema circulatorio
8 | 8- Enfermedades del sistema respiratorio
9 | 9- Enfermedades del sistema digestivo
10 | 10- Enfermedades del sistema genitourinario
"11 | 11- Complicaciones del embarazo, del parto y del puerperio"
12 | 12- Enfermedades de la piel y del tejido celular subcutáneo
13 | 13- Enfermedades del sistema osteomuscular y del tejido conjuntivo
"14 | 14- Malformaciones congénitas, deformidades y anomalías cromosómicas"
15 | 15- Ciertas afecciones originadas en el período perinatal
"16 | 16- Signos, síntomas y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte"
17 | 17- Causas externas de morbilidad y mortalidad
